,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t370", 4.093609415436E+05, 1.520770053328E+05, 2.046804707722E+05, 4.093609415444E+04, 1.228082824631E+04, 2.046804707718E+04, 1.637443766178E+05, 2.046804707726E+04
"t371", 4.175481603745E+05, 1.551185454395E+05, 2.087740801877E+05, 4.175481603754E+04, 1.252644481124E+04, 2.087740801873E+04, 1.670192641501E+05, 2.087740801881E+04
"t372", 4.258991235821E+05, 1.582209163483E+05, 2.129495617914E+05, 4.258991235829E+04, 1.277697370746E+04, 2.129495617911E+04, 1.703596494332E+05, 2.129495617918E+04
"t373", 4.344171060538E+05, 1.613853346752E+05, 2.172085530273E+05, 4.344171060546E+04, 1.303251318162E+04, 2.172085530269E+04, 1.737668424218E+05, 2.172085530276E+04
"t374", 4.431054481750E+05, 1.646130413687E+05, 2.215527240878E+05, 4.431054481757E+04, 1.329316344525E+04, 2.215527240875E+04, 1.772421792703E+05, 2.215527240882E+04
"t375", 4.519675571386E+05, 1.679053021961E+05, 2.259837785696E+05, 4.519675571392E+04, 1.355902671416E+04, 2.259837785693E+04, 1.807870228557E+05, 2.259837785699E+04
"t376", 4.610069082814E+05, 1.712634082400E+05, 2.305034541410E+05, 4.610069082820E+04, 1.383020724844E+04, 2.305034541407E+04, 1.844027633128E+05, 2.305034541413E+04
"t377", 4.702270464471E+05, 1.746886764048E+05, 2.351135232238E+05, 4.702270464477E+04, 1.410681139341E+04, 2.351135232235E+04, 1.880908185791E+05, 2.351135232241E+04
"t378", 4.796315873761E+05, 1.781824499329E+05, 2.398157936883E+05, 4.796315873766E+04, 1.438894762128E+04, 2.398157936880E+04, 1.918526349507E+05, 2.398157936886E+04
"t379", 4.892242191237E+05, 1.817460989316E+05, 2.446121095621E+05, 4.892242191242E+04, 1.467672657371E+04, 2.446121095618E+04, 1.956896876497E+05, 2.446121095624E+04
"t380", 4.990087035062E+05, 1.853810209102E+05, 2.495043517533E+05, 4.990087035067E+04, 1.497026110519E+04, 2.495043517531E+04, 1.996034814027E+05, 2.495043517536E+04
"t381", 5.089888775764E+05, 1.890886413284E+05, 2.544944387884E+05, 5.089888775768E+04, 1.526966632729E+04, 2.544944387882E+04, 2.035955510307E+05, 2.544944387887E+04
"t382", 5.191686551279E+05, 1.928704141550E+05, 2.595843275642E+05, 5.191686551284E+04, 1.557505965384E+04, 2.595843275640E+04, 2.076674620514E+05, 2.595843275644E+04
"t383", 5.295520282305E+05, 1.967278224381E+05, 2.647760141155E+05, 5.295520282310E+04, 1.588656084692E+04, 2.647760141153E+04, 2.118208112924E+05, 2.647760141157E+04
